cliente_id,razao_social,setor,faturamento_anual,dias_desde_ultimo_contato,possui_conta_pj,possui_maquininha,possui_credito_ativo,possui_cartao_empresarial,limite_credito_disponivel,atraso_pagamento_dias,variacao_faturamento_6m,tempo_relacionamento_meses,nps_ultima_interacao
PJ0001,Alves e Filhos,Indústria,1229590.23,50,True,False,False,True,97955.62,0,22.6,87,2
PJ0002,da Cruz,Construção Civil,735570.4,16,True,False,False,False,102627.05,0,23.4,12,8
PJ0003,Carvalho Sousa S/A,Serviços,958170.67,56,True,False,False,False,41098.25,0,24.0,141,4
PJ0004,Pastor - ME,Serviços,644282.97,40,True,False,True,False,30806.01,0,-6.4,25,8
PJ0005,Alves S/A,Comércio,830403.11,13,True,False,False,False,18014.64,0,31.8,45,6
PJ0006,da Conceição Montenegro - EI,Comércio,692416.39,0,True,False,True,True,15125.63,0,7.3,122,6
PJ0007,Novais S.A.,Comércio,758272.72,7,True,False,True,True,96923.11,25,26.4,147,5
PJ0008,Câmara,Agronegócio,925475.38,19,True,False,False,False,106592.5,0,-5.5,55,1
PJ0009,Pastor,Serviços,525818.68,25,True,True,True,False,34785.71,0,-2.5,100,8
PJ0010,Abreu,Serviços,1684458.85,7,True,True,False,False,186605.11,0,6.1,173,5
PJ0011,Sampaio Lima Ltda.,Comércio,487766.97,3,True,False,False,True,34815.23,0,4.3,136,7
PJ0012,Cassiano,Construção Civil,448796.37,45,True,True,False,False,64571.29,0,20.8,119,0
PJ0013,Teixeira Fernandes S/A,Serviços,1159204.27,104,True,False,False,False,168915.59,0,-1.5,53,4
PJ0014,Garcia S/A,Comércio,1001155.19,18,True,False,False,False,71145.28,0,19.5,32,0
PJ0015,Ferreira,Comércio,936259.47,4,True,True,False,False,122695.72,0,13.0,51,9
PJ0016,Aparecida,Comércio,937843.34,7,True,False,False,False,113011.6,3,-1.2,44,10
PJ0017,Nascimento,Comércio,725851.91,0,True,True,False,True,43768.86,0,11.8,82,7
PJ0018,Garcia S/A,Indústria,509455.74,61,True,False,True,True,25556.94,0,-5.1,146,7
